date;GW level [cm+MSL]
1986 04 28;324
1986 05 14;325
1986 06 28;300
1986 07 14;299
1986 07 28;301
1986 08 14;288
1986 08 28;288
1986 09 14;290
1986 09 29;289
1986 10 14;281
1986 10 28;324
1986 11 14;297
1986 11 28;302
1986 12 13;288
1986 12 27;326
1987 01 28;295
1987 02 14;305
1987 02 28;307
1987 03 14;314
1987 03 28;326
1987 04 14;311
1987 04 28;314
1987 05 14;316
1987 05 28;315
1987 05 29;315
1987 06 15;318
1987 06 29;333
1987 07 14;321
1987 07 28;319
1987 08 14;325
1987 08 28;320
1987 09 14;326
1987 09 28;314
1987 10 14;312
1987 10 28;315
1987 11 14;306
1987 11 28;322
1987 12 14;298
1987 12 28;310
1988 01 14;309
1988 01 28;344
1988 02 14;338
1988 02 28;311
1988 03 14;315
1988 03 28;342
1988 04 14;325
1988 04 28;321
1988 05 14;324
1988 05 28;325
1988 06 14;314
1988 06 28;315
1988 07 14;305
1988 07 28;306
1988 08 13;300
1988 08 29;297
1988 09 14;293
1988 09 28;307
1988 10 14;318
1988 10 28;315
1988 11 14;294
1988 11 28;279
1988 12 14;319
1988 12 28;320
1989 01 14;307
1989 01 28;290
1989 02 14;289
1989 02 28;295
1989 03 14;312
1989 03 28;309
1989 04 14;323
1989 04 28;325
1989 05 13;313
1989 05 29;304
1989 06 14;307
1989 06 28;292
1989 07 14;296
1989 07 28;294
1989 08 14;298
1989 08 28;293
1989 09 14;296
1989 09 28;293
1989 10 14;288
1989 10 28;286
1989 11 14;288
1989 11 28;288
1989 12 14;278
1989 12 28;305
1990 01 13;288
1990 01 27;301
1990 02 14;304
1990 02 28;335
1990 03 14;316
1990 03 28;301
1990 04 14;298
1990 04 28;292
1990 05 14;290
1990 06 14;296
1990 06 28;298
1990 07 14;304
1990 07 28;301
1990 08 14;288
1990 08 28;289
1990 09 13;281
1990 09 28;277
1990 10 14;278
1990 10 27;269
1990 11 14;288
1990 11 28;312
1990 12 14;310
1990 12 28;306
1991 01 14;333
1991 01 23;317
1991 01 28;308
1991 02 14;279
1991 03 14;276
1991 03 28;279
1991 04 15;285
1991 04 29;283
1991 05 14;285
1991 05 28;288
1991 06 14;279
1991 06 28;310
1991 07 15;293
1991 07 29;291
1991 08 14;289
1991 08 30;273
1991 09 14;271
1991 09 28;270
1991 10 14;267
1991 10 28;266
1991 11 14;304
1991 11 28;288
1991 12 14;264
1991 12 27;309
1992 01 14;298
1992 01 28;275
1992 02 04;270
1992 02 14;274
1992 02 28;273
1992 03 14;305
1992 03 28;326
1992 04 14;315
1992 04 28;316
1992 05 14;313
1992 05 29;301
1992 06 15;318
1992 06 29;304
1992 07 14;301
1992 07 28;295
1992 08 14;305
1992 08 28;288
1992 09 14;300
1992 09 28;283
1992 10 14;272
1992 10 28;302
1992 11 14;302
1992 11 28;334
1992 12 14;362
1992 12 28;309
1993 01 14;318
1993 01 28;314
1993 02 15;295
1993 03 01;292
1993 03 15;279
1993 03 29;272
1993 04 14;280
1993 04 28;288
1993 05 14;282
1993 05 28;284
1993 06 15;280
1993 06 28;276
1993 07 14;284
1993 07 28;319
1993 08 14;300
1993 08 28;288
1993 09 15;287
1993 09 28;319
1993 10 14;326
1993 10 28;319
1993 11 15;319
1993 11 29;299
1993 12 14;327
1993 12 28;352
1994 01 15;339
1994 01 28;341
1994 02 14;320
1994 02 28;304
1994 03 14;308
1994 03 28;331
1994 04 14;333
